s vacf_x VACF
2150 2.6544861669009239333e-08 1.5557569776291744273e-07
2160 2.604618625513705737e-08 1.5340632139318135556e-07
2170 2.55254635115232504e-08 1.5065287551563550439e-07
2180 2.5005616002553475842e-08 1.4738280046679430459e-07
2190 2.4515055427649007565e-08 1.4368697680637695441e-07
2200 2.4091440649626034429e-08 1.3967803075120111339e-07
2210 2.3771260290315518446e-08 1.3547536179186873516e-07
2220 2.3578780808406721117e-08 1.3119642252032230863e-07
2230 2.3511768619494421649e-08 1.2693339939775476785e-07
2240 2.3527779118262600807e-08 1.2273020581732320409e-07
2250 2.3544438755059852882e-08 1.1857411409269100416e-07
2260 2.3451770412301314003e-08 1.1439756501592796491e-07
2270 2.3142171380537659196e-08 1.1011234414492068416e-07
2280 2.2527053739055566942e-08 1.0563954551692237233e-07
2290 2.1555329291850389165e-08 1.0092809231493164587e-07
2300 2.0204698664206789296e-08 9.5962708940211465036e-08
2310 1.8480705535737255363e-08 9.076026464556583471e-08
2320 1.6406262810411860539e-08 8.5360320713783468733e-08
2330 1.4025267132970038451e-08 7.9829274227401368011e-08
2340 1.1390440243543954878e-08 7.4234476082493089041e-08
2350 8.5648672574154152515e-09 6.8645484641143522825e-08
2360 5.6166609352432511202e-09 6.3120053685518010676e-08
2370 2.6063821964355965679e-09 5.770365727486810566e-08
2380 -4.1300498727415214591e-10 5.2424521160141178046e-08
2390 -3.4048019250630632803e-09 4.7290319650888380821e-08
2400 -6.3493260244516657028e-09 4.2281799070378504946e-08
2410 -9.2394915071801812186e-09 3.7365075440309402904e-08
2420 -1.2081308966239966656e-08 3.2481913306473131443e-08
2430 -1.4877407725050194472e-08 2.7573500292228205171e-08
2440 -1.7628585688331853658e-08 2.2582045678008192082e-08
2450 -2.0327363473213958519e-08 1.7461728959949854409e-08
2460 -2.2961968757032401583e-08 1.2194713920107338734e-08
2470 -2.5520549728013448592e-08 6.7869822424168812508e-09
2480 -2.7992629080816752322e-08 1.2761915206659416701e-09
2490 -3.0366272872306897737e-08 -4.2693551836979980547e-09
2500 -3.262754783882705478e-08 -9.7690321499529474703e-09
2510 -3.4751919757292218308e-08 -1.5130884547628457026e-08
2520 -3.670418816997234395e-08 -2.0256564686457203016e-08
2530 -3.8445498371001494067e-08 -2.5072649002057713879e-08
2540 -3.9936463305192071936e-08 -2.9523105349489945937e-08
2550 -4.1151973648634218142e-08 -3.3589643217835414027e-08
2560 -4.2070219488314817533e-08 -3.7274666788786184667e-08
2570 -4.2689120655035139921e-08 -4.0599469564861528967e-08
2580 -4.3025701101178156607e-08 -4.3596605160663309938e-08
2590 -4.3110400053020750642e-08 -4.6310069903908173504e-08
2600 -4.2981676622867011139e-08 -4.8771996736436742358e-08
2610 -4.2676366569081661772e-08 -5.100625666398513949e-08
2620 -4.222587581931242449e-08 -5.3032707919378777449e-08
2630 -4.1649476078346693736e-08 -5.4853321334482135316e-08
2640 -4.09548293771372576e-08 -5.6447727782573242948e-08
2650 -4.0135089196867510404e-08 -5.778632840496318051e-08
2660 -3.9167968932426137207e-08 -5.8816436533560481559e-08
2670 -3.8009555561043113295e-08 -5.9465863508922419158e-08
2680 -3.659499547287582261e-08 -5.9622110368533941875e-08
2690 -3.4845384174730034682e-08 -5.9139905948728277111e-08
2700 -3.269098442072684298e-08 -5.7878277535818778013e-08
2710 -3.0086906927576747557e-08 -5.5713180911793177275e-08
2720 -2.7020060708481596575e-08 -5.2580413204292297464e-08
