s vacf_x VACF
2820 8.071277348293453781e-08 1.974753415882657642e-07
2830 7.7903268432854256392e-08 1.9614972760628493683e-07
2840 7.4753864717223591552e-08 1.9424865843614360211e-07
2850 7.1258235975134670551e-08 1.9175571113191833776e-07
2860 6.7409053325945357435e-08 1.8869648036864017874e-07
2870 6.3217406423270403875e-08 1.8512296751392982472e-07
2880 5.8738328866744858069e-08 1.8111954290142284142e-07
2890 5.4077989254557543778e-08 1.7681041175678872199e-07
2900 4.9381783069552666595e-08 1.7234144029272945389e-07
2910 4.480575504391549086e-08 1.6784682331730825703e-07
2920 4.048786589399658144e-08 1.634335559269205751e-07
2930 3.65214463933043931e-08 1.5915625840200541887e-07
2940 3.2953075316831738965e-08 1.5502927359273599029e-07
2950 2.9788987650154877787e-08 1.5105347379121359974e-07
2960 2.7006936781005135217e-08 1.4723053710679933165e-07
2970 2.456451370616664546e-08 1.4355500411921181931e-07
2980 2.2417087686389128146e-08 1.400155305899031957e-07
2990 2.0528414723636833337e-08 1.3659186278007595775e-07
3000 1.8869628478414525301e-08 1.3323903308345064558e-07
3010 1.7416570477274155778e-08 1.2988910695284223175e-07
3020 1.6145407625081926914e-08 1.2647527932403629759e-07
3030 1.5038077118070811152e-08 1.2295034199783466182e-07
3040 1.4071180571893155917e-08 1.1930060515592665617e-07
3050 1.3213136209457987427e-08 1.1553914046586935658e-07
3060 1.2425378173021143879e-08 1.1168534158813902433e-07
3070 1.1669919675667768082e-08 1.0774353002054574125e-07
3080 1.0927794548692171372e-08 1.0370468990744778198e-07
3090 1.0215047409275795971e-08 9.9553733358141044903e-08
3100 9.5979289249691877628e-09 9.5289699175863397486e-08
3110 9.1826350980988541267e-09 9.0934213181037507149e-08
3120 9.104155122616618258e-09 8.6554330965838888243e-08
3130 9.4973543699244154547e-09 8.2263181503122649947e-08
3140 1.0473603264951560993e-08 7.8220262879751374043e-08
3150 1.2096989868650730753e-08 7.4607557126942667056e-08
3160 1.4381430885658974419e-08 7.1596670787650560817e-08
3170 1.7295640140327821863e-08 6.932047664061234898e-08
3180 2.0773689562328532193e-08 6.7853964084860229173e-08
3190 2.4714584535149767782e-08 6.7203321835707861379e-08
3200 2.8980001676965032613e-08 6.7316106477812072464e-08
3210 3.340208173884778787e-08 6.8078412558275003203e-08
3220 3.7800650275491242129e-08 6.9336917141554436303e-08
3230 4.2004702965283308324e-08 7.0912250294788760835e-08
3240 4.5880203800036587855e-08 7.2616162675885213983e-08
3250 4.9342385067458636673e-08 7.4253833141694888243e-08
