LAMMPS data file. CGCMM Style. atom_style full. Created by charmm2lammps v1.9.2 on Текущая дата: 20.02.2023 

         699  atoms
         466  bonds
         233  angles
           0  dihedrals
           0  impropers

           2  atom types
           1  bond types
           1  angle types
           0  dihedral types
           0  improper types

      -0.011       19.989 xlo xhi
     -0.0065      19.9935 ylo yhi
        0.08        20.08 zlo zhi

Masses

       1      1.008  # HT
       2    15.9994  # OT

Pair Coeffs # lj/charmm/coul/long

       1            0.046   0.400013524445            0.046   0.400013524445  # HT
       2           0.1521    3.15057422683           0.1521    3.15057422683  # OT

Atoms # full

     192      64     1     0.417            4.218            1.737            3.533  # HT
     193      65     2    -0.834           16.096            8.405           10.628  # OT
     194      65     1     0.417           16.085             9.39           10.715  # HT
     195      65     1     0.417           16.077            8.348            9.621  # HT
     196      66     2    -0.834           18.479            3.089            1.378  # OT
     197      66     1     0.417           17.536            3.208            1.574  # HT
     198      66     1     0.417           18.602             2.14            1.197  # HT
     199      67     2    -0.834           15.529            5.982            8.519  # OT
     200      67     1     0.417           16.398            5.632            8.812  # HT
     201      67     1     0.417           15.223            5.333            7.867  # HT
     202      68     2    -0.834            4.539            2.605            8.295  # OT
     203      68     1     0.417             5.46            2.702            8.123  # HT
     204      68     1     0.417            4.434            1.616            8.363  # HT
     205      69     2    -0.834            18.35            6.978           17.615  # OT
     206      69     1     0.417           18.415            7.291           16.702  # HT
     207      69     1     0.417           17.398            7.159           17.784  # HT
     208      70     2    -0.834           19.399           12.364             1.98  # OT
     209      70     1     0.417           19.715           11.499            1.598  # HT
     210      70     1     0.417           19.091           12.059            2.846  # HT
     211      71     2    -0.834           12.793           13.364           12.168  # OT
     212      71     1     0.417           12.787           13.548           11.223  # HT
     213      71     1     0.417           11.995           13.794           12.399  # HT
     214      72     2    -0.834            6.667            7.547            9.646  # OT
     215      72     1     0.417            6.103            6.975           10.296  # HT
     216      72     1     0.417            7.558            7.292           10.046  # HT
     217      73     2    -0.834           10.129           17.485             6.55  # OT
     218      73     1     0.417            9.231           17.467             6.92  # HT
     219      73     1     0.417           10.108           16.702            5.985  # HT
     220      74     2    -0.834            4.654            5.717            5.023  # OT
     221      74     1     0.417            5.059            5.126            4.395  # HT
     222      74     1     0.417            5.409            5.785            5.634  # HT
     223      75     2    -0.834           12.336           14.905             9.35  # OT
     224      75     1     0.417           11.849           15.588            8.883  # HT
     225      75     1     0.417           11.568           14.375             9.77  # HT
     226      76     2    -0.834            5.488           14.255           13.212  # OT
     227      76     1     0.417            6.279           14.126           13.709  # HT
     228      76     1     0.417            4.864           13.991           13.878  # HT
     229      77     2    -0.834            3.686            8.353            3.401  # OT
     230      77     1     0.417            4.494             7.93            3.084  # HT
